 case_id,Code,group,infection_case,confirmed,latitude,longitude
1000001,10210,TRUE,Itaewon Clubs,139,37.538621,126.992652
1000002,10050,TRUE,Richway,119,37.48208,126.901384
1000003,10070,TRUE,Guro-gu Call Center,95,37.508163,126.884387
1000004,10190,TRUE,Yangcheon Table Tennis Club,43,37.546061,126.874209
1000005,10100,TRUE,Day Care Center,43,37.679422,127.044374
1000006,10070,TRUE,Manmin Central Church,41,37.481059,126.894343
1000007,,TRUE,SMR Newly Planted Churches Group,36,-,-
1000008,10110,TRUE,Dongan Church,17,37.592888,127.056766
1000009,,TRUE,Coupang Logistics Center,25,-,-
1000010,10050,TRUE,Wangsung Church,30,37.481735,126.930121
1000011,10220,TRUE,Eunpyeong St. Mary's Hospital,14,37.63369,126.9165
1000012,10160,TRUE,Seongdong-gu APT,13,37.55713,127.0403
1000013,10230,TRUE,Jongno Community Center,10,37.57681,127.006
1000014,10010,TRUE,Samsung Medical Center,7,37.48825,127.08559
1000015,10240,TRUE,Jung-gu Fashion Company,7,37.562405,126.984377
1000016,10140,TRUE,Yeonana News Class,5,37.558147,126.943799
1000017,10230,TRUE,Korea Campus Crusade of Christ,7,37.594782,126.968022
1000018,10010,TRUE,Gangnam Yeoksam-dong gathering,6,-,-
1000019,,TRUE,Daejeon door-to-door sales,1,-,-
1000020,10080,TRUE,Geumcheon-gu rice milling machine manufacture,6,-,-
1000021,,TRUE,Shincheonji Church,8,-,-
1000022,,TRUE,Guri Collective Infection,5,-,-
1000023,10240,TRUE,KB Life Insurance,13,37.560899,126.966998
1000024,10200,TRUE,Yeongdeungpo Learning Institute,3,37.520846,126.931278
1000025,10010,TRUE,Gangnam Dongin Church,1,37.522331,127.057388
1000026,10190,TRUE,Biblical Language study meeting,3,37.524623,126.843118
1000027,10150,TRUE,Seocho Family,5,-,-
1000028,,TRUE,Anyang Gunpo Pastors Group,1,-,-
1000029,10010,TRUE,Samsung Fire & Marine Insurance,4,37.498279,127.030139
1000030,10040,TRUE,SJ Investment Call Center,0,37.559649,126.835102
1000031,,TRUE,Yongin Brothers,4,-,-
1000032,10240,TRUE,Seoul City Hall Station safety worker,3,37.565699,126.977079
1000033,,TRUE,Uiwang Logistics Center,2,-,-
1000034,,TRUE,Orange Life,1,-,-
1000035,10070,TRUE,Daezayeon Korea,3,37.486837,126.893163
1000036,,FALSE,overseas inflow,298,-,-
1000037,,FALSE,contact with patient,162,-,-
1000038,,FALSE,etc,100,-,-
1100001,11060,TRUE,Onchun Church,39,35.21628,129.0771
1100002,,TRUE,Shincheonji Church,12,-,-
1100003,11120,TRUE,Suyeong-gu Kindergarten,5,35.16708,129.1124
1100004,11160,TRUE,Haeundae-gu Catholic Church,6,35.20599,129.1256
1100005,,TRUE,Jin-gu Academy,4,35.17371,129.0633
1100006,,TRUE,Itaewon Clubs,4,-,-
1100007,,TRUE,Cheongdo Daenam Hospital,1,-,-
1100008,,FALSE,overseas inflow,36,-,-
1100009,,FALSE,contact with patient,19,-,-
1100010,,FALSE,etc,30,-,-
1200001,12010,TRUE,Shincheonji Church,4511,35.84008,128.5667
1200002,12030,TRUE,Second Mi-Ju Hospital,196,35.857375,128.466651
1200003,12060,TRUE,Hansarang Convalescent Hospital,124,35.885592,128.556649
1200004,12030,TRUE,Daesil Convalescent Hospital,101,35.857393,128.466653
1200005,12040,TRUE,Fatima Hospital,39,35.88395,128.624059
1200006,,TRUE,Itaewon Clubs,2,-,-
1200007,,TRUE,Cheongdo Daenam Hospital,2,-,-
1200008,,FALSE,overseas inflow,41,-,-
1200009,,FALSE,contact with patient,917,-,-
1200010,,FALSE,etc,747,-,-
1300001,13030,TRUE,Gwangneuksa Temple,5,35.136035,126.956405
1300002,,TRUE,Shincheonji Church,9,-,-
1300003,,FALSE,overseas inflow,23,-,-
1300004,,FALSE,contact with patient,5,-,-
1300005,,FALSE,etc,1,-,-
1400001,,TRUE,Itaewon Clubs,53,-,-
1400002,,TRUE,Coupang Logistics Center,42,-,-
1400003,,TRUE,Guro-gu Call Center,20,-,-
1400004,,TRUE,Shincheonji Church,2,-,-
1400005,,FALSE,overseas inflow,68,-,-
1400006,,FALSE,contact with patient,6,-,-
1400007,,FALSE,etc,11,-,-
1500001,,TRUE,Door-to-door sales in Daejeon,55,-,-
1500002,15030,TRUE,Dunsan Electronics Town,13,36.3400973,127.3927099
1500003,15030,TRUE,Orange Town,7,36.3398739,127.3819744
1500004,15030,TRUE,Dreaming Church,4,36.346869,127.368594
1500005,15030,TRUE,Korea Forest Engineer Institute,3,36.358123,127.388856
1500006,,TRUE,Shincheonji Church,2,-,-
1500007,,TRUE,Seosan-si Laboratory,2,-,-
1500008,,FALSE,overseas inflow,15,-,-
1500009,,FALSE,contact with patient,15,-,-
1500010,,FALSE,etc,15,-,-
1600001,,TRUE,Shincheonji Church,16,-,-
1600002,,FALSE,overseas inflow,25,-,-
1600003,,FALSE,contact with patient,3,-,-
1600004,,FALSE,etc,7,-,-
1700001,17000,TRUE,Ministry of Oceans and Fisheries,31,36.504713,127.265172
1700002,17000,TRUE,gym facility in Sejong,8,36.48025,127.289
1700003,,TRUE,Shincheonji Church,1,-,-
1700004,,FALSE,overseas inflow,5,-,-
1700005,,FALSE,contact with patient,3,-,-
1700006,,FALSE,etc,1,-,-
2000001,20120,TRUE,River of Grace Community Church,67,37.455687,127.161627
2000002,20110,TRUE,Coupang Logistics Center,67,37.530579,126.775254
2000003,,TRUE,Itaewon Clubs,59,-,-
2000004,,TRUE,Richway,58,-,-
2000005,20250,TRUE,Uijeongbu St. Mary’s Hospital,50,37.758635,127.077716
2000006,,TRUE,Guro-gu Call Center,50,-,-
2000007,,TRUE,Shincheonji Church,29,-,-
2000008,,TRUE,Yangcheon Table Tennis Club,28,-,-
2000009,,TRUE,SMR Newly Planted Churches Group,25,-,-
2000010,20120,TRUE,Bundang Jesaeng Hospital,22,37.38833,127.1218
2000011,20170,TRUE,Anyang Gunpo Pastors Group,22,37.381784,126.93615
